message_id,channel_key,date_key,message_text,message_length,view_count,engagement_rate,mentions_ethiopia,loaded_at
89,0da0121850fad876e43e518319784893,2023-01-17,"🟠ለናንተ ለደምበኞቻችን ይሆናሉ ያልናቸዉን ምርጥ ቫይታሚንና ሰፕልመንቶች እነሆ!!

አጭር የTiktok ቪዲዮአችንን በመመልከት ግንዛቤዎን ይጨምሩ።
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMYJHUVde/

የTiktok ቻናላችንን Like እና Follow ያድርጉ።",176,2221,1.0,False,2025-07-11 22:00:53.069613
88,0da0121850fad876e43e518319784893,2023-01-17,"🌞**Sundown Cinnamon!
Supports sugar metabolism**.

Che-Med **Sundown Cinnamon** **Supplement Product** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med is the best way to find your meds!",277,487,1.0,False,2025-07-11 22:00:53.069614
90,0da0121850fad876e43e518319784893,2023-01-23,"**CVS Daytime & Nighttime Cold and Flu Relief

**ለሰሞኑ ጉንፋን ማስታገሻ በአንደኝነት ተመራጭ የሆነውን **CVS Daytime & Nighttime Cold and Flu Relief** Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: www.chemeds.org

Che-Med is the best way to find your meds!",343,596,1.0,False,2025-07-11 22:00:53.069612
91,0da0121850fad876e43e518319784893,2023-01-26,"**Che-Med Trivia #1
**The U.S. pharmaceutical industry is the largest in the world, making up about 40% of the worldwide drug development, manufacturing, and revenue generation. And half of the world’s top 10 pharmaceutical companies are in America, including the headquarters for Johnson & Johnson, Pfizer, Merck and Co., AbbVie, Eli Lilly and Co., and Abbott Laboratories. In fact, Johnson & Johnson’s revenue alone reached $82.6 billion in 2020.",448,567,1.0,False,2025-07-11 22:00:53.069610
92,0da0121850fad876e43e518319784893,2023-01-27,"**You can get our services at:
**Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: **www.chemeds.org**",152,638,1.0,False,2025-07-11 22:00:53.069609
93,0da0121850fad876e43e518319784893,2023-01-30,"**Che-Med Trivia #2

**እንደ Ciprofloxacin, Doxycycline, Levothyroxine, Iron supplement ያሉ መድሃኒቶችን ከወተት እና ከወተት ተዋፅዖዎች ጋር እንዲሁም ከእንቁላል ጋር መውሰድ መድሃኒቶቹ በሰውነታችን የሚፈለገውን ስራ እንዳይሰሩ ያደርጋቸዋል።

ይህም በወተት ተዋጽኦዎች ውስጥ ያለው ካልሲየም እነዚህ መድሃኒቶች በሰውታችን ወስጥ እንዳይዋህዱ ጣልቃ ስለሚገባ ነው።",258,660,1.0,False,2025-07-11 22:00:53.069608
94,0da0121850fad876e43e518319784893,2023-01-31,"**Che-Med Trivia #3

**ምግብና መጠጦች አንዳንድ መድሃኒቶች በደንብ እንዳይሰሩ ሊያደርጉ ይችላሉ። በዚህ ሁኔታ እነዚህን መድሃኒቶች ምግብ ከወሰድን ከ1 ሰዓት እስከ 2 ሰዓት ባለ ጊዜ ውስጥ መውሰድ ያስፈልግዎታል።

ከነዚህም ወስጥ **የእንቅርት መድሃኒቶች፣Omeprazole፣Sildenafil(Viagra)፣Captopril እና Ampicillin** ይጠቀሳሉ።

መድሃኒትዎ ከምግብ ጋር ያለውን አወሳሰድ እርግጠኛ ካልሆኑ ሃኪምዎን ወይም ፋርማሲስትዎን ያማክሩ።",295,759,1.0,False,2025-07-11 22:00:53.069606
95,0da0121850fad876e43e518319784893,2023-02-01,"**አዚትሮማይሲን** በሃኪም መድሃኒት ማዘዣ ከሚታዘዙ አንቲባዮቲኮች አንዱ ሲሆን በርከት ያሉ ባክቴርያዎችን ይገላል።

በቀን አንዴ ለ3 ቀናት ምግብ ከመብላታችን 1 ሰዓት ቀደም ብሎ ወይንም ከበላን ከ 2 ሰዓት በኋላ መወሰድ ይኖርበታል።

📌የሃኪም ማዘዣ ካልዎት 
በቴሌግራም ግሩፓችን-t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይላኩልን።",222,984,1.0,False,2025-07-11 22:00:53.069605
96,0da0121850fad876e43e518319784893,2023-02-02,"Mela-One በውስጡ ሆርሞን ያለው ድንገተኛ ወሊድ መቆጣጠርያ ሲሆን ያለመከላከያ የተደረገ የግብረስጋ ግንኙነት ሲኖር በ72 ሰዓታት ወስጥ መወሰድ ይኖርበታል።

📌ከChe-Med ለማዘዝ፡ 
በቴሌግራም ግሩፓችን- t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይዘዙን።",174,1086,1.0,False,2025-07-11 22:00:53.069603
97,0da0121850fad876e43e518319784893,2023-02-10,"⚠️**Notice!
**Dear esteemed customers,
Due to four-day motorbike movement restrictions, we have limited our services to matchmaking,drug information, and medical consultation only.

**N.B. 
**🔅We will make deliveries for those for whom the medications are urgent.
🔅You can book deliveries starting from Monday, February 13, 2023",328,1157,1.0,False,2025-07-11 22:00:53.069571
